"","Symbol","Uniprot","entrez"
"761","LATS2","Q9NRM7",26524
"762","TPSG1","Q9NRR2",25823
"763","BMP2K","Q9NSY1",55589
"764","IRAK4","Q9NWZ3",51135
"765","SIRT5","Q9NXA8",23408
"766","P4HTM","Q9NXG6",54681
"767","QPCTL","Q9NXS2",54814
"768","SCN3A","Q9NY46",6328
"769","STK32B","Q9NY57",55351
"770","SLC5A4","Q9NY91",6527
"771","SPHK1","Q9NYA1",8877
"772","PLK2","Q9NYY3",10769
"773","ERAP1","Q9NZ08",51752
"774","PSENEN","Q9NZ42",55851
"775","EIF2AK3","Q9NZJ5",9451
"776","MARK1","Q9P0L2",4139
"777","CACNA1I","Q9P0X4",8911
"778","PAK5","Q9P286",57144
"779","EIF2AK4","Q9P2K8",440275
"780","P2RX2","Q9UBL9",22953
"781","DHCR7","Q9UBM7",1717
"782","HDAC6","Q9UBN7",10013
"783","RPS6KB2","Q9UBS0",6199
"784","UBA2","Q9UBT2",10054
"785","GHRL","Q9UBU3",51738
"786","DBF4","Q9UBU7",10926
"787","LPAR3","Q9UBY5",23566
"788","MALT1","Q9UDY8",10892
"789","STK17A","Q9UEE5",9263
"790","EPHA6","Q9UF33",285220
"791","KCNN3","Q9UGI6",3782
"792","PRKAG2","Q9UGJ0",51422
"793","POLL","Q9UGP5",27343
"794","ASIC3","Q9UHC3",9311
"795","NPC1L1","Q9UHC9",29881
"796","TBK1","Q9UHD2",29110
"797","BAZ2B","Q9UIF8",29994
"798","BAZ2A","Q9UIF9",11176
"799","DAPK2","Q9UIK4",23604
"800","LNPEP","Q9UIQ6",4012
"801","HAO1","Q9UJM8",54363
"802","TLK1","Q9UKI8",9874
"803","RCOR1","Q9UKL0",23186
"804","MAN1B1","Q9UKM7",11253
"805","HDAC9","Q9UKV0",9734
"806","KCNH3","Q9ULD8",23416
"807","NOTCH3","Q9UM47",4854
"808","GABRQ","Q9UN88",55879
"809","ADAMTS5","Q9UNA0",11096
"810","CELA1","Q9UNI1",1990
"811","SRPK3","Q9UPE1",26576
"812","AURKC","Q9UQB9",6795
"813","TRPC6","Q9Y210",7225
"814","PDE10A","Q9Y233",10846
"815","PDE10A","Q9Y233",90632
"816","AKT3","Q9Y243",10000
"817","PLAA","Q9Y263",9373
"818","CYSLTR1","Q9Y271",10800
"819","CA5B","Q9Y2D0",11238
"820","MAST1","Q9Y2H9",22983
"821","SIK3","Q9Y2K2",23387
"822","KDM2A","Q9Y2K7",22992
"823","PTPN22","Q9Y2R2",26191
"824","MAP3K2","Q9Y2U5",10746
"825","KLK5","Q9Y337",25818
"826","SLC6A5","Q9Y345",9152
